Run at 2023-11-11 22:30:16
=========
Time (s) |  Value
8.87     |  4.4317
8.95     |  5.1286
9.03     |  9.2726
9.11     |  2.0895
9.18     |  0.0789
9.26     |  1.0012
9.42     |  7.2786
9.50     |  4.0445
9.58     |  2.5556
9.66     |  3.8794
9.74     |  6.7057
9.81     |  5.7168
9.89     |  8.3978
10.05    |  4.3284
10.13    |  5.7758
10.21    |  8.3646
10.28    |  4.9381
10.36    |  5.2221
10.44    |  9.2079
10.52    |  4.1954
10.60    |  6.1444
10.68    |  8.9406
10.76    |  6.3338
10.84    |  3.3370
10.91    |  2.1132
10.99    |  9.7508
11.07    |  7.1410
11.15    |  8.8352
11.23    |  5.1896
11.31    |  2.9173
11.39    |  1.6503
11.46    |  6.8384
11.54    |  7.1504
11.62    |  9.0316
11.70    |  9.3946
11.78    |  4.2972
11.86    |  3.1773
11.94    |  7.3816
12.02    |  3.4034
12.09    |  2.6756
12.17    |  3.4771
12.25    |  1.5988
12.33    |  9.8930
12.41    |  7.4770
12.49    |  6.9088
12.56    |  5.6905
12.64    |  8.4630
12.72    |  0.4295
12.80    |  8.1534
12.88    |  0.4984
12.95    |  8.5234
13.03    |  9.3195
13.11    |  4.7276
13.19    |  1.9207
13.27    |  8.2427
13.35    |  4.9469
13.42    |  3.2427
13.50    |  3.9498
13.58    |  0.3341
13.66    |  2.2346
13.73    |  0.9511
13.89    |  7.6138
13.97    |  0.0040
14.05    |  0.3730
14.12    |  3.9557
14.20    |  5.9262
14.28    |  2.5995
14.36    |  3.5060
14.44    |  3.6914
14.51    |  7.3077
14.59    |  7.2456
14.67    |  2.2226
14.75    |  6.2283
14.82    |  9.8047
14.90    |  2.7751
14.98    |  7.6180
15.06    |  9.2941
15.14    |  1.0868
15.22    |  5.4367
15.29    |  6.6151
15.37    |  6.9306
15.45    |  9.4983
15.53    |  9.0105
15.61    |  6.9265
15.68    |  3.3485
15.76    |  1.8263
15.84    |  4.8845
15.92    |  5.0581
16.00    |  6.4265
16.07    |  8.6477
16.15    |  3.0727
16.23    |  4.5763
16.31    |  7.8602
16.39    |  7.9099
16.47    |  5.5098
16.54    |  3.7556
16.62    |  7.3003
16.70    |  0.5190
16.78    |  6.5843
16.86    |  0.3680
16.94    |  7.3168
17.01    |  8.8112
17.09    |  6.9991
17.17    |  6.6657
17.25    |  5.1553
17.40    |  9.4968
17.48    |  7.1566
17.56    |  9.8652
17.63    |  6.0819
17.71    |  9.0272
17.79    |  0.6494
17.87    |  0.8584
17.95    |  9.8962
18.03    |  0.2745
18.10    |  9.5930
18.18    |  8.4134
18.26    |  5.6162
18.34    |  1.7380
18.42    |  2.1431
18.50    |  7.0343
18.57    |  6.5604
18.65    |  5.3915
18.73    |  1.9818
18.81    |  8.8356
18.89    |  2.8650
18.96    |  4.7623
19.04    |  4.7451
19.12    |  8.7607
19.20    |  4.1749
19.28    |  2.7534
19.35    |  1.8387
19.43    |  0.7448
19.51    |  3.0769
19.59    |  9.3559
19.67    |  5.8783
19.74    |  1.5262
19.82    |  7.1428
19.90    |  7.1894
19.98    |  7.9548
20.05    |  4.5889
20.13    |  2.3885
20.21    |  3.8200
20.29    |  5.1758
20.37    |  2.1236
20.45    |  9.1562
20.52    |  9.3537
20.60    |  8.7783
20.68    |  6.9382
20.76    |  9.4715
20.84    |  5.0704
20.99    |  7.5070
21.07    |  9.6902
21.15    |  8.2934
21.23    |  2.1561
21.31    |  3.7452
21.38    |  1.7514
21.46    |  0.7060
21.54    |  8.2636
21.62    |  3.4020
21.69    |  0.1281
21.77    |  5.4974
21.85    |  3.6160
21.93    |  0.9477
22.01    |  6.6157
22.08    |  4.7778
22.16    |  6.6437
22.24    |  6.2157
22.32    |  1.8002
22.40    |  6.0176
22.48    |  4.4979
22.56    |  9.2180
22.64    |  5.7845
22.72    |  8.9230
22.80    |  6.0599
22.88    |  0.7587
22.96    |  2.6651
23.03    |  5.9831
23.11    |  4.5516
23.21    |  5.7259
23.32    |  7.0466
23.47    |  2.9032
23.55    |  9.6280
23.63    |  1.8111
23.71    |  4.6715
23.79    |  4.7798
23.87    |  9.2404
23.94    |  7.1146
24.02    |  8.9509
24.10    |  5.8559
24.18    |  3.6963
24.26    |  5.9555
24.34    |  5.3515
24.42    |  7.2206
24.50    |  5.3971
24.57    |  1.8779
24.65    |  3.6340
24.73    |  0.7583
24.81    |  0.4760
24.97    |  7.5536
25.05    |  6.5527
25.12    |  8.4228
25.20    |  8.8559
25.28    |  6.8013
25.36    |  9.7317
25.44    |  0.8593
25.52    |  3.5368
25.60    |  4.0776
25.67    |  6.6977
25.75    |  8.3667
25.83    |  2.1676
25.91    |  6.9109
25.99    |  7.4032
26.06    |  9.2823
26.15    |  4.2251
26.22    |  5.3858
26.30    |  7.1668
26.38    |  1.7556
26.46    |  6.4028
26.54    |  5.4412
26.61    |  5.0207
26.69    |  4.4300
26.77    |  2.7912
26.85    |  3.9250
26.92    |  3.6398
27.00    |  3.5057
27.08    |  1.6130
27.16    |  8.7092
27.24    |  9.9949
27.31    |  5.4466
27.39    |  4.9094
27.47    |  2.3420
27.55    |  9.2323
27.63    |  2.1376
27.70    |  8.8318
27.78    |  1.6143
27.86    |  0.4295
27.94    |  0.8560
28.02    |  1.1960
28.10    |  8.0320
28.18    |  0.5493
28.25    |  0.3158
28.33    |  0.5279
28.49    |  2.2849
28.57    |  4.5664
28.65    |  1.7930
28.73    |  3.2319
28.81    |  2.0348
28.88    |  3.2559
28.96    |  1.8837
29.04    |  0.0224
29.12    |  0.7694
29.20    |  2.1231
29.27    |  2.5509
29.35    |  1.8007
29.43    |  1.3486
29.51    |  6.9579
29.59    |  3.2637
29.67    |  9.8896
29.75    |  2.0288
29.82    |  3.7960
29.90    |  0.1016
29.98    |  5.8028
30.06    |  2.8876
30.14    |  2.0530
30.21    |  8.1473
30.29    |  5.6409
30.37    |  0.8760
30.45    |  0.7152
30.53    |  7.7484
30.61    |  5.1377
30.69    |  2.2283
30.77    |  6.6505
30.85    |  5.6372
30.93    |  2.1544
31.09    |  5.7979
31.17    |  6.5802
31.24    |  7.1633
31.40    |  0.0655
31.48    |  6.1144
31.55    |  3.1378
31.63    |  8.6613
31.71    |  8.4826
31.79    |  1.7142
31.87    |  3.9771
31.95    |  9.7674
32.03    |  2.0636
32.11    |  3.8451
32.26    |  9.1661
32.34    |  5.4054
32.50    |  7.8154
32.58    |  6.1936
32.66    |  8.0562
32.73    |  1.0351
32.81    |  8.0676
32.89    |  4.0880
33.05    |  5.7312
33.13    |  6.3097
33.21    |  8.2375
33.29    |  7.3694
33.44    |  8.3984
33.60    |  4.3836
33.68    |  9.3807
33.76    |  7.5840
33.84    |  7.1719
33.92    |  0.9990
34.08    |  9.1300
34.16    |  2.5638
34.32    |  0.5852
34.40    |  6.6730
34.47    |  9.7518
34.55    |  9.3092
34.63    |  9.1169
34.71    |  4.0705
34.79    |  2.8142
34.86    |  2.9954
34.94    |  8.2259
35.02    |  9.3345
35.10    |  8.6511
35.18    |  6.1158
35.26    |  7.5091
35.34    |  6.9860
35.41    |  2.7041
35.49    |  3.2403
35.57    |  6.4092
35.65    |  0.2036
35.81    |  9.9608
35.88    |  0.9703
36.04    |  2.6634
36.12    |  8.4178
36.20    |  6.1296
36.27    |  8.6959
36.35    |  3.1609
36.43    |  7.9683
36.51    |  9.3138
36.59    |  2.6927
36.74    |  9.3316
36.90    |  2.1742
37.06    |  5.0993
37.14    |  4.6582
37.22    |  9.9017
37.30    |  0.6530
37.37    |  7.5562
37.53    |  1.7184
37.61    |  5.9326
37.68    |  8.6325
37.84    |  3.6585
37.92    |  6.9501
38.00    |  8.8774
38.08    |  0.6021
38.16    |  7.6353
38.23    |  9.5921
38.31    |  0.4675
38.39    |  2.5767
38.55    |  3.2461
38.71    |  5.4143
38.79    |  0.7981
38.94    |  9.1798
39.02    |  5.5615
39.10    |  0.2791
39.18    |  8.3062
39.26    |  0.6696
39.33    |  5.4412
39.41    |  5.4013
39.49    |  7.1277
39.57    |  8.0212
39.65    |  8.5268
39.73    |  9.8464
39.81    |  7.7180
39.89    |  6.2214
39.97    |  1.3571
40.05    |  3.0062
40.13    |  8.9546
40.20    |  2.8692
40.28    |  0.6456
40.36    |  6.2129
40.44    |  2.7902
40.52    |  9.0219
40.60    |  8.0667
40.68    |  1.8697
40.75    |  1.3868
40.91    |  6.8159
40.99    |  6.5948
41.07    |  4.2515
41.15    |  6.8890
41.22    |  3.9405
41.30    |  5.8094
41.38    |  8.9334
41.46    |  2.6169
41.53    |  6.6430
41.61    |  6.2853
41.69    |  8.2022
41.77    |  8.1745
41.85    |  1.8750
41.92    |  6.4746
42.00    |  2.4440
42.08    |  9.7646
42.16    |  0.1666
42.24    |  3.9645
42.32    |  8.1120
42.39    |  9.7224
42.47    |  7.9512
42.55    |  4.3133
42.63    |  5.0882
42.71    |  4.8446
42.78    |  9.8272
42.86    |  5.3804
42.94    |  2.2049
43.10    |  5.5418
43.18    |  0.9320
43.25    |  3.0614
43.33    |  9.6000
43.41    |  5.2720
43.57    |  0.9067
43.73    |  9.3895
43.81    |  4.5411
43.88    |  7.1306
43.96    |  8.4303
44.04    |  8.6465
44.12    |  2.9607
44.20    |  3.7173
44.28    |  9.7408
44.36    |  2.8530
44.43    |  6.2068
44.51    |  6.7682
44.67    |  6.3030
44.75    |  4.4408
44.83    |  9.5848
44.91    |  4.9146
44.98    |  8.2695
45.06    |  4.5397
45.14    |  3.1688
45.22    |  8.5709
45.29    |  1.5645
45.37    |  8.2812
45.45    |  8.3333
45.53    |  9.7599
45.61    |  5.6351
45.69    |  1.8425
45.85    |  3.9426
46.00    |  6.3631
46.23    |  9.3704
46.57    |  7.9282
46.79    |  9.6630
46.97    |  4.4926
47.12    |  1.3779
47.28    |  1.7363
47.44    |  0.5785
47.60    |  2.0574
47.75    |  9.4220
47.91    |  5.2972
47.99    |  8.6961
48.06    |  9.1375
48.14    |  0.8684
48.22    |  1.8764
48.30    |  0.2132
48.38    |  4.9626
48.46    |  7.5865
48.53    |  1.4356
48.61    |  9.3031
48.69    |  6.8232
48.77    |  5.6573
48.84    |  9.9232
48.92    |  7.4799
49.00    |  9.9125
49.08    |  3.8626
49.16    |  6.6855
49.23    |  4.7874
49.31    |  3.7161
49.39    |  2.5364
49.47    |  5.2235
49.55    |  8.1012
49.63    |  0.5351
49.70    |  0.6165
49.78    |  1.3990
49.86    |  6.6491
49.94    |  9.3888
50.02    |  6.9455
50.09    |  5.8973
50.17    |  3.2311
50.25    |  9.1924
50.33    |  7.2312
50.50    |  0.4283
50.66    |  5.1770
50.82    |  8.4488
50.99    |  8.6268
51.21    |  9.1101
51.43    |  2.3652
51.60    |  8.7597
51.79    |  2.9336
51.95    |  8.2922
52.10    |  2.9840
52.18    |  2.5863
52.26    |  5.5342
52.34    |  6.5837
52.41    |  3.6060
52.49    |  8.6793
52.57    |  4.1028
52.65    |  2.7109
52.73    |  8.6504
52.80    |  8.5385
52.96    |  1.6931
53.12    |  1.7138
53.20    |  0.6367
53.28    |  8.5684
53.35    |  4.1437
53.43    |  2.7665
53.51    |  1.5547
53.59    |  1.6817
53.67    |  5.5922
53.75    |  1.0567
53.82    |  0.1090
53.90    |  2.7797
53.98    |  3.0510
54.06    |  8.3704
54.14    |  3.1162
54.22    |  7.5110
54.29    |  4.0373
54.45    |  9.0714
54.53    |  5.0702
54.60    |  4.5105
54.68    |  8.3824
54.76    |  8.9585
54.84    |  5.4532
54.92    |  8.1930
54.99    |  2.2284
55.07    |  8.9899
55.15    |  7.9510
55.23    |  3.3107
55.31    |  7.9164
55.39    |  0.6797
55.46    |  8.5347
55.54    |  6.2423
55.62    |  3.0431
55.70    |  6.7334
55.78    |  1.6813
55.86    |  6.0108
55.93    |  5.9468
56.01    |  2.0456
56.09    |  0.5289
56.17    |  0.1106
56.25    |  5.3596
56.32    |  7.8392
56.40    |  8.8761
56.48    |  4.3079
56.56    |  7.4407
56.63    |  6.4302
56.71    |  6.0962
56.79    |  1.5770
56.87    |  0.9634
56.95    |  2.6514
57.03    |  8.0993
57.11    |  2.8469
57.18    |  6.5646
57.34    |  5.7052
57.42    |  6.5773
57.49    |  0.1246
57.57    |  0.7181
57.65    |  6.6363
57.73    |  9.1103
57.81    |  1.4132
57.88    |  1.1576
57.96    |  1.1807
58.04    |  4.9445
58.12    |  8.3267
58.20    |  7.2934
58.27    |  0.9463
58.35    |  4.1295
58.43    |  4.0127
58.51    |  4.0866
58.59    |  8.7373
58.66    |  7.0034
58.74    |  8.1411
58.82    |  5.2512
58.89    |  4.0253
58.97    |  4.1819
59.05    |  5.0427
59.13    |  0.4581
59.21    |  4.8466
59.28    |  1.4332
59.36    |  2.3075
59.44    |  8.5003
59.52    |  2.8234
59.60    |  5.8079
59.67    |  1.4286
59.75    |  4.9004
59.83    |  8.0980
59.91    |  6.5732
59.99    |  1.5310
60.07    |  7.5436
60.14    |  9.5322
60.22    |  3.6043
60.30    |  8.9153
60.38    |  0.0484
60.46    |  4.0749
60.54    |  5.8593
60.62    |  7.2757
60.69    |  0.4139
60.77    |  2.3872
60.85    |  6.7046
60.93    |  3.7793
61.01    |  7.2864
61.09    |  0.9352
61.17    |  6.3792
61.24    |  3.4123
61.40    |  5.7901
61.56    |  0.2858
61.72    |  3.6937
61.88    |  0.1383
61.95    |  6.9068
62.03    |  4.6064
62.11    |  0.0647
62.19    |  6.4398
62.27    |  2.4100
62.35    |  8.8046
62.43    |  0.8165
62.51    |  2.3651
62.58    |  3.6193
62.66    |  3.5135
62.82    |  4.5230
62.90    |  5.3146
62.97    |  6.6705
63.05    |  1.3266
63.13    |  3.0206
63.21    |  9.2889
63.29    |  0.3714
63.36    |  5.9308
63.44    |  5.4820
63.52    |  9.3922
63.60    |  6.6951
63.68    |  9.8055
63.75    |  7.4930
63.83    |  9.0267
63.91    |  9.6916
63.99    |  5.8508
64.07    |  0.6941
64.15    |  9.2406
64.23    |  6.1255
64.30    |  0.8077
64.38    |  1.6777
64.46    |  3.4411
64.54    |  6.8731
64.62    |  7.1666
64.70    |  6.6114
64.78    |  4.4890
64.85    |  0.8001
64.93    |  8.9739
65.01    |  6.2386
65.09    |  1.6517
65.17    |  4.3178
65.25    |  9.6843
65.33    |  2.5760
65.40    |  1.4198
65.48    |  0.0822
65.56    |  4.8641
65.72    |  3.4263
65.80    |  8.1356
65.88    |  0.6855
65.96    |  6.1233
66.03    |  8.4307
66.11    |  4.6835
66.19    |  7.9292
66.26    |  8.3698
66.34    |  0.7431
66.42    |  1.3548
66.50    |  5.3233
66.58    |  7.8148
66.65    |  7.7751
66.73    |  7.8353
66.81    |  5.8559
66.89    |  8.8471
67.04    |  3.8279
67.12    |  4.2873
67.20    |  2.9954
67.28    |  0.0600
67.36    |  3.9849
67.44    |  8.9814
67.51    |  7.2330
67.59    |  0.1729
67.67    |  4.4923
67.75    |  2.8038
67.83    |  5.1210
67.91    |  3.3031
67.98    |  8.5644
68.06    |  1.7282
68.14    |  7.2891
68.22    |  5.9994
68.30    |  7.3118
68.38    |  7.9171
68.46    |  8.2457
68.53    |  9.0016
68.61    |  0.0559
68.69    |  8.9091
68.85    |  4.3828
68.93    |  2.8027
69.01    |  4.2488
69.09    |  0.4468
69.16    |  8.4996
69.24    |  5.7376
69.39    |  9.6009
69.47    |  0.0318
69.63    |  2.9832
69.71    |  0.1589
69.78    |  7.5277
69.86    |  8.2541
69.94    |  1.6210
70.02    |  7.2054
70.09    |  7.0811
70.17    |  7.0999
70.25    |  5.6664
70.33    |  3.0629
70.41    |  8.5957
70.49    |  9.3852
70.57    |  2.3733
70.65    |  4.4054
70.72    |  3.2176
70.80    |  7.1391
70.88    |  6.5659
70.96    |  2.3665
71.04    |  4.4302
71.12    |  8.3320
71.20    |  8.9246
71.28    |  7.7054
71.36    |  7.5008
71.43    |  8.3601
71.51    |  1.8531
71.59    |  6.5494
71.67    |  3.3197
71.74    |  2.1550
71.82    |  0.4515
71.90    |  6.8386
71.98    |  2.0530
72.05    |  3.9657
72.13    |  9.2850
72.21    |  9.9205
72.29    |  2.2782
72.37    |  1.5076
72.45    |  9.1879
72.53    |  8.0085
72.60    |  2.0793
72.68    |  4.3629
72.76    |  6.1926
72.84    |  5.9359
72.92    |  8.7085
73.07    |  1.4715
73.15    |  6.0257
73.23    |  2.8831
73.31    |  4.8229
73.38    |  8.5952
73.46    |  9.3662
73.54    |  7.5616
73.62    |  4.3565
73.70    |  2.9809
73.85    |  3.0801
73.93    |  5.5239
74.01    |  5.2447
74.09    |  7.8961
74.17    |  2.8906
74.24    |  4.4519
74.32    |  8.1028
74.40    |  5.0044
74.48    |  8.6019
74.56    |  2.3492
74.64    |  3.3026
74.72    |  2.5381
74.79    |  3.8643
74.87    |  8.3506
74.95    |  1.9893
75.03    |  5.2324
75.11    |  9.8687
75.19    |  0.8057
75.26    |  6.4319
75.34    |  2.9852
75.42    |  2.4878
75.50    |  4.5670
75.58    |  8.3825
75.66    |  0.7039
75.73    |  1.4933
75.81    |  7.9682
75.89    |  5.3459
75.97    |  0.3420
76.05    |  2.6294
76.12    |  6.1003
76.20    |  8.2567
76.28    |  2.6097
76.36    |  6.1912
76.44    |  6.1081
76.51    |  6.5363
76.59    |  7.5790
76.67    |  2.2764
76.75    |  1.2384
76.83    |  5.1097
76.91    |  5.4012
76.98    |  8.1875
77.14    |  7.8256
77.21    |  3.3762
77.29    |  6.9713
77.45    |  3.8374
77.53    |  8.6803
77.61    |  0.6781
77.68    |  2.4084
77.76    |  5.8806
77.84    |  8.2571
77.92    |  7.9501
78.00    |  4.0510
78.08    |  1.2057
78.15    |  1.6233
78.23    |  8.2652
